"добыча полезных ископаемых";"der Abbau, -e"
"аспект";"der Aspekt, -e"
"аспекты";"die Aspekte, -"
"ветви";"die Äste, -"
"атлантический";"der Atlantischer, -"
"дыхание";"die Atmung, -"
"структура";"der Aufbau, -"
"хранение";"die Aufbewahrung, -"
"задача";"die Aufgabe, -n"
"возникновение";"das Aufkommen, -"
"лежать на поверхности";"das Aufliegen, -"
"разрешающая способность";"das Auflösungsvermögen, -"
"разрезание";"das Aufschneiden, -"
"надзорный персонал";"das Aufsichtspersonal, -"
"отмыкание";"das Aufsperren, -"
"обнаружение";"das Aufspüren, -"
"оттаивание";"das Auftauen, -"
"плавучесть";"der Auftrieb, -"
"эпифиты";"der Aufwuchs, -"
"площадь произрастания";"das Aufwuchsareal, -e"
"места произрастания";"die Aufwuchsplätze, -"
"записи";"die Aufzeichnungen, -"
"периоды разведения";"die Aufzuchtzeiten, -"
"глаз";"das Auge, -n"
"глазной рефлекс вращения";"der Augendrehreflexes, -"
"центр глаза";"die Augenmitte, -n"
"август";"der August, -"
"расширение";"der Ausbau, -"
"образование";"die Ausbildung, -en"
"выражение";"der Ausdruck, ""e"
"исполнение";"die Ausführung, -en"
"запуск";"das Auslösen, -"
"степень";"das Ausmaß, -e"
"исключение";"die Ausnahme, -n"
"исключительные случаи";"die Ausnahmefällen, -"
"оборудование";"die Ausrüstung, -en"
"наружный паразит";"der Außenschmarotzer, -"
"выставлять";"das Aussetzen, -"
"выставка";"die Ausstellung, -en"
"вымирание";"das Aussterben, -"
"осуществление";"die Ausübung, -en"
"выбор";"die Auswahl, -en"
"высылка";"die Ausweisung, -en"
"выбрасывать";"das Auswerfen, -"
"воздействие";"die Auswirkung, -en"
"последствия";"die Auswirkungen, -"
"Закон о рыболовстве в заливе AVB";"das AVBayFiG, -"
"ручей";"der Bach, ⸚e"
"ручьи";"die Bächen, -"
"речной рачок";"der Bachflohkrebs, -e"
"ручьевая форель";"die Bachforelle, -n"
"речная мидия";"die Bachmuschel, -n"
"ручьевая минога";"das Bachneunauge, -n"
"голец";"der Bachsaibling, -e"
"белая трясогузка";"die Bachstelze, -n"
"купание";"das Baden, -"
"места для купания";"die Badestellen, -"
"обводнённый карьер";"der Baggersee, -n"
"бактерии";"die Bakterien, -"
"бактерия";"das Bakterium, Bakterien"
"бамбук";"der Bambus, -"
"ленточные черви";"die Bandwürmer, -"
"барбель";"die Bartel, -n"
"бартовая рыба";"die Bartgrundel, -n"
"строительство";"der Bau, -ten"
"живот";"der Bauch, ⸚e"
"брюшная стенка";"die Bauchdecke, -n"
"брюшина";"das Bauchfell, -"
"брюшной плавник";"die Bauchflosse, -n"
"брюшные щитки";"die Bauchschilde, -"
"разрез брюха";"der Bauchschnitt, -e"
"сточные воды из известкового раствора";"das Baukalkabwasser, ⸚"
"деревья";"die Bäume, -"
"кора дерева";"die Baumrinde, -n"
"сточные воды со стройплощадок";"die Baustellenabwässer, -"
"Баварский";"dem Bayerischem, -"
"Бавария";"das Bayern, -"
"Баварии";"des Bayerns, -"
"Закон о рыболовстве в Баварии";"das BayFiG, -"
"соблюдение";"die Beachtung, -en"
"обработка";"die Bearbeitung, -en"
"контроль";"die Beaufsichtigung, -en"
"значение";"die Bedeutung, -en"
"лицензия оператора";"der Bedienungsschein, -e"
"условия";"die Bedingungen, -"
"ухудшение";"die Beeinträchtigung, -en"
"доказательство квалификации";"der Befähigungsnachweis, -e"
"движение";"das Befahren, -"
"заражение";"der Befall, ⸚e"
"возможности рыбной ловли";"die Befischungsmöglichkeiten, -"
"полномочие";"die Befugnis, -se"
"орган оплодотворения";"das Begattungshilfsorgan, -e"
"орган спаривания";"das Begattungsorgan, -e"
"начало";"der Beginn, -e"
"компаньон";"der Begleiter, -"
"сопровождение";"die Begleitung, -en"
"понятие";"der Begriff, -e"
"контейнер";"der Behälter, -"
"лечение";"die Behandlung, -en"
"орган власти";"die Behörde, -n"
"ноги";"die Beine, -"
"пример";"das Beispiel, -e"
"борьба";"die Bekämpfung, -en"
"правомочные лица";"die Berechtigte, -n"
"правомочное лицо";"der Berechtigter, -"
"область";"der Bereich, -e"
"профессиональное обучение";"die Berufsausbildung, -en"
"трогать";"das Berühren, -"
"посадка рыбы";"der Besatz, -"
"зарыбляемая рыба";"der Besatzfische, -"
"водоём для зарыбления";"das Besatzgewässer, -"
"комбинация для зарыбления";"die Besatzkombination, -en"
"мероприятие по зарыблению";"die Besatzmaßnahme, -n"
"материал для зарыбления";"das Besatzmaterial, -"
"качество";"die Beschaffenheit, -"
"затенение";"die Beschattung, -"
"решение";"der Bescheid, -e"
"ограничения";"die Beschränkungen, -"
"защищать";"das Beschützen, -"
"отягощение";"die Beschwerung, -"
"владение";"der Besitz, -"
"особенность";"die Besonderheit, -en"
"покрытие";"die Bespannung, -en"
"запас";"der Bestand, ⸚e"
"запасы";"die Beständen, -"
"поголовье";"des Bestandes, -"
"сохранение запасов";"die Bestandserhaltung, -en"
"пробелы в запасах";"die Bestandslücken, -"
"определение";"die Bestimmung, -en"
"отличительный признак";"das Bestimmungsmerkmal, -e"
"оглушение";"die Betäubung, -en"
"бетон или";"Betonoder, -"
"эксплуатировать";"das Betreiben, -"
"оператор";"der Betreiber, -"
"добыча";"die Beute, -n"
"добывание добычи";"der Beutefang, -"
"движение";"die Bewegung, -en"
"управляющий";"der Bewirtschafter, -"
"управление";"die Bewirtschaftung, -en"
"зубной ряд";"die Bezahnung, -en"
"относится";"bezieht, -"
"районным консультантам";"den Bezirksfachberatern, -"
"бобр";"der Biber, -"
"пчёлы";"die Bienen, -"
"картина";"das Bild, -er"
"образование";"die Bildung, -en"
"способность связываться";"das Bindungsvermögen, -"
"ситник";"die Binse, -n"
"биогазовые установки";"die Biogasanlagen, -"
"биоиндикаторы";"die Bioindikatoren, -"
"биомасса";"die Biomasse, -n"
"ондатра";"der Bisam, -"
"Бискайский залив";"die Biskaya, -"
"укус";"der Biss, -e"
"сигнализатор поклёвки";"der Bissanzeiger, -"
"горчак";"der Bitterling, -e"
"гольян";"der Bitterlingen, -"
"угорь речной";"der Blankaal, -e"
"лысуха";"das Blässhuhn, -ühner"
"сиг";"der Blaufelchen, -"
"слепой отросток";"die Blindsäcke, -"
"блесна";"der Blinker, -"
"тип блесны";"die Blinkerart, -en"
"кровь";"das Blut, -"
"обновление крови";"die Blutauffrischung, -en"
"пыльца";"die Blütenpollen, -"
"стебель цветка";"die Blütenstängel, -"
"время цветения";"die Blütezeit, -en"
"кровоизлияние";"der Blutknoten, -"
"кровотечение";"die Blutungen, -"
"самец";"der Bock, -öcke"
"дно";"der Boden, -"
"донные рыбы";"die Bodenfische, -"
"корм на дне";"die Bodennahrung, -"
"Боденское озеро";"der Bodensee, -"
"субстрат дна";"das Bodensubstrat, -e"
"частица грунта";"die Bodenteilchen, -"
"донная зона";"die Bodenzone, -n"
"бойлы";"die Boilies, -"
"лодка";"das Boot, -e"
"рыбалка с лодки";"das Bootsangeln, -"
"рыбная ловля с лодки";"die Bootsfischerei, -en"
"скорость лодки";"die Bootsgeschwindigkeit, -en"
"возбудитель ботулизма";"der Botulismuserreger, -"
"лещ";"die Brachse, -n"
"регион обитания леща";"die Brachsenregion, -en"
"большой кроншнеп";"der Brachvogel, -ögel"
"солоноватая вода";"das Brackwasser, -"
"негашёная известь";"der Branntkalk, -"
"жаркое";"der Braten, -"
"преломление";"die Brechung, -en"
"ширина";"die Breite, -n"
"тормоз";"die Bremse, -n"
"регулировка тормоза";"die Bremseinstellung, -en"
"прочность на разрыв";"die Bruchfestigkeit, -en"
"грудь";"die Brust, -"
"пара грудных плавников";"das Brustbeinpaar, -e"
"грудной плавник";"die Brustflossen, -"
"выводок";"die Brut, -en"
"нерестовая пара";"das Brutpaar, -e"
"уход за потомством";"die Brutpflege, -"
"удостоверение личности";"der Bundespersonalausweis, -e"
"судоходный путь";"die Bundesschifffahrtsstraße, -n"
"внутренние водные пути";"die Bundeswasserstraßen, -"
"гражданский";"bürgerliches"
"щетинки";"die Bürstenzähne, -"
"рак-боксер";"der Butterkrebs, -e"
"хирургический узел";"der Chirurgenknoten, -"
"соединение";"der Clinch, -e"
"вьюнковые";"die Cobitiden, -"
"сиги";"die Coregonen, -"
"виды сигов";"die Coregonenarten, -"
"сиговые";"die Coregoniden, -"
"керчаковые";"die Cottiden, -"
"карповые";"die Cypriniden, -"
"плотины";"die Dämme, -"
"сумерки";"die Dämmerung, -"
"кишечник";"der Darm, -e"
"кишечное дыхание";"die Darmatmung, -"
"кишки";"der Darmes, -"
"кишечные паразиты";"die Darmschmarotzer, -"
"продолжительность";"die Dauer, -"
"большой палец руки";"der Daumen, -"
"растяжение";"die Dehnung, -"
"вмятина";"die Delle, -n"
"дезинфекция";"die Desinfektion, -"
"декабрь";"der Dezember, -"
"кража";"der Diebstahl, -"
"знак отличия";"das Dienstabzeichen, -"
"служебное удостоверение";"der Dienstausweis, -e"
"Дунай";"die Donau, -"
"бассейн Дуная";"das Donaueinzugsgebiet, -e"
"дунайский ерш";"der Donaukaulbarsch, -e"
"двойной крючок";"der Doppelhaken, -"
"двойной узел";"der Doppelknoten, -"
"шип";"der Dorn, -en"
"шипы";"die Dornen, -"
"остистые отростки";"die Dornfortsätze, -"
"колюшка";"die Dorngrundel, -n"
"желточный мешок";"der Dottersack, -e"
"вертячка";"die Drehkrankheit, -"
"вращение";"die Drehung, -"
"дрейссена";"die Dreikantmuschel, -n"
"трехиглый";"dreistachliger"
"сверло";"der Drill, -"
"тройник";"der Drilling, -e"
"вертлюг для блесны";"der Drillingshaken, -"
"дрон";"die Drohnen, -"
"давление";"der Druck, -e"
"испытание под давлением";"die Druckprobe, -n"
"железистые клетки";"die Drüsenzellen, -"
"удобрение";"der Dünger, -"
"удобрения";"die Düngestoffe, -"
"темнота";"die Dunkelheit, -"
"готовить на пару";"dünsten, -"
"проводить";"durchführen, -"
"проходимость";"die Durchgängigkeit, -"
"пловец, плавающий на спине";"der Durchlaufschwimmers, -"
"диаметр";"der Durchmesser, -"
"динамика";"die Dynamik, -"
"эхолот";"das Echolot, -e"
"благородный";"edel, -"
"благородный рак";"der Edelkrebs, -e"
"эффективность";"die Effizienz, -"
"откладка яиц";"die Eiablage, -n"
"яйца";"die Eier, -"
"яичники";"die Eierstöcke, -"
"собственный вес";"das Eigengewicht, -e"
"свойство";"die Eigenschaft, -en"
"собственность";"das Eigentum, -"
"владелец";"der Eigentümer, -"
"приобретение права собственности";"der Eigentumserwerb, -"
"собственное потребление";"der Eigenverbrauch, -"
"тесты на пригодность";"die Eignungstests, -"
"установка";"der Einbau, -"
"простой крючок";"der Einfachhaken, -"
"оправа";"die Einfassung, -en"
"влияние";"der Einfluss, -"
"влияния";"die Einflüsse, -"
"внутренности";"die Eingeweide, -"
"соблюдение";"die Einhaltung, -"
"одноручный прут";"die Einhandrute, -n"
"единица";"die Einheit, -en"
"вкладывать";"einlegen, -"
"введение";"die Einleitung, -"
"место ввода";"die Einleitungsstelle, -n"
"обстановка";"die Einrichtung, -en"
"использование";"der Einsatz, -"
"включать";"einschalten, -"
"надрезать";"einschneiden, -"
"сужение";"die Einschnürung, -"
"ограничение";"die Einschränkung, -"
"заиливание";"die Einschwemmung, -"
"заплывание";"das Einschwimmen, -"
"установка";"die Einstellung, -en"
"подёнка";"die Eintagsfliege, -n"
"личинка подёнки";"die Eintagsfliegenlarve, -n"
"классификация";"die Einteilung, -en"
"запись";"der Eintrag, -äe"
"вход";"die Eintrittspforte, -n"
"согласие";"das Einverständnis, -se"
"обернуть";"das Einwickeln, -"
"согласие";"die Einwilligung, -en"
"житель";"der Einwohner, -"
"единичный случай";"der Einzelfall, -älle"
"одиночный крючок";"der Einzelhaken, -"
"одиночная чешуя";"die Einzelschuppe, -n"
"водосбор";"das Einzugsgebiet, -e"
"лёд";"das Eis, -"
"ледяной покров";"die Eisdecke, -n"
"содержание железа";"der Eisengehalt, -e"
"зимородок";"der Eisvogel, -ö"
"белок";"das Eiweiß, -e"
"Эльба";"die Elbe, -"
"электрорыбалка";"die Elektrobefischung, -en"
"электрорыболовство";"die Elektrofischerei, -en"
"гольян";"die Elritze, -n"
"эльзасец";"der Elsässer, -"
"конец";"das Ende, -n"
"последняя мушка";"die Endfliege, -n"
"конечный размер";"die Endgröße, -n"
"конечное кольцо";"der Endring, -e"
"кончик";"die Endspitze, -n"
"обескровливание";"das Entbluten, -"
"удаление";"die Entfernung, -en"
"забор";"die Entnahme, -n"
"решение";"die Entscheidung, -en"
"осушительный ров";"der Entwässerungsgraben, -ä"
"развитие";"die Entwicklung, -en"
"форма развития";"die Entwicklungsform, -en"
"стадия развития";"das Entwicklungsstadium, -stadien"
"земляной вертел";"der Erdspieß, -e"
"сбор";"die Erfassung, -en"
"успех";"der Erfolg, -e"
"исполнение";"die Erfüllung, -en"
"получение";"der Erhalt, -"
"сохранение";"die Erhaltung, -en"
"повышение";"die Erhöhung, -en"
"отличительный признак";"das Erkennungsmerkmal, -e"
"заболевание";"die Erkrankung, -en"
"разрешение";"die Erlaubnis, -se"
"лицензия";"der Erlaubnisschein, -e"
"владелец лицензии";"der Erlaubnisscheininhaber, -"
"лицензионное обязательство";"die Erlaubnisscheinpflicht, -en"
"усмотрение";"das Ermessen, -"
"расследование";"die Ermittlung, -en"
"питание";"die Ernährung, -en"
"пищевое поведение";"das Ernährungsverhalten, -"
"возбудитель";"der Erreger, -"
"запасная чешуя";"die Ersatzschuppe, -n"
"запасная часть";"das Ersatzteil, -e"
"явление";"die Erscheinung, -en"
"выдача";"die Erteilung, -en"
"урожай";"der Ertrag, -äe"
"урожайность";"die Ertragsfähigkeit, -en"
"потепление";"die Erwärmung, -en"
"приобретение";"der Erwerb, -e"
"законные опекуны";"die Erziehungsberechtigte, -n"
"маринованный";"der Essigsud, -e"
"европейский канал";"der Europakanal, -e"
"эвтрофикация";"die Eutrophierung, -en"
"экземпляр";"das Exemplar, -e"
"нитчатая водоросль";"die Fadenalge, -n"
"способность";"die Fähigkeit, -en"
"флаг";"die Fahne, -n"
"транспортное средство";"das Fahrzeug, -e"
"фактор";"der Faktor, -en"
"улов";"der Fang, -e"
"вид ловли";"die Fangart, -en"
"перспектива улова";"die Fangaussicht, -en"
"ограничения на вылов";"die Fangbeschränkung, -en"
"успех в ловле";"der Fangerfolg, -e"
"рыболовное устройство";"das Fanggerät, -e"
"рыболовные воды";"das Fanggewässer, -"
"количество улова";"die Fangmenge, -n"
"метод ловли";"die Fangmethode, -n"
"средство ловли";"das Fangmittel, -"
"возможность поймать";"die Fangmöglichkeit, -en"
"место ловли";"der Fangplatz, -e"
"клык";"der Fangzahn, -e"
"цветная лента";"das Farbband, -er"
"цвет";"die Farbe, -n"
"окраска";"die Färbung, -en"
"цветовая клетка";"die Farbzelle, -n"
"болотный газ";"das Faulgas, -e"
"гниение";"die Fäulnis, -se"
"февраль";"der Februar, -e"
"фидерное удилище";"die Feederrute, -n"
"загрязнение мелким осадком";"die Feinsedimentbelastung, -en"
"мелкий осадок";"das Feinsediment, -e"
"полевые насаждения";"das Feldgehölz, -e"
"мастерство";"die Fertigkeit, -en"
"прочность";"die Festigkeit, -en"
"установление";"die Feststellung, -en"
"закрепление";"das Festziehen, -"
"жировой плавник";"die Fettflosse, -n"
"содержание жира";"der Fettgehalt, -e"
"огонь";"das Feuer, -"
"лучевой плавник";"der Fiederstrahl, -en"
"филе";"das Filet, -s"
"кусок филе";"das Filetstück, -e"
"налоговое управление";"das Finanzamt, -¨er"
"палец";"der Finger, -"
"мелкое место";"die Flachstelle, -n"
"мелководье";"der Flachwasserbereich, -e"
"пламя";"die Flamme, -n"
"фланг";"die Flanke, -n"
"камыш";"die Flatterbinse, -n"
"пятно";"der Fleck, -e"
"мясная кость";"die Fleischgräte, -n"
"качество мяса";"die Fleischqualität, -en"
"муха";"die Fliege, -n"
"ловля нахлыстом";"das Fliegenfischen, -"
"ловля нахлыстом";"die Fliegenfischerei, -en"
"удилище для ловли нахлыстом";"die Fliegengerte, -n"
"катушка для ловли нахлыстом";"die Fliegenrolle, -n"
"удилище для ловли нахлыстом";"die Fliegenrute, -n"
"леска для ловли нахлыстом";"die Fliegenschnur, -¨e"
"поводок для ловли нахлыстом";"das Fliegenvorfach, -¨er"
"скорость течения";"die Fließgeschwindigkeit, -en"
"текучая вода";"das Fließgewässer, -"
"управление текучими водами";"die Fließgewässerbewirtschaftung, -en"
"проточный канал";"der Fließkanal, -¨e"
"рыбная ловля с плота";"das Floßangeln, -"
"плавник";"die Flosse, -n"
"перепонка плавника";"die Flossenhaut, -¨e"
"плавник";"der Flossensaum, -säume"
"положение плавника";"die Flossenstellung, -en"
"луч плавника";"der Flossenstrahl, -en"
"поведение при бегстве";"das Fluchtverhalten, -"
"попытка побега";"der Fluchtversuch, -e"
"нахлыстовая удочка";"die Flugangel, -n"
"ловля нахлыстом";"das Flugangeln, -"
"река";"der Fluss, Flüsse"
"окунь";"der Flussbarsch, -e"
"спрямление русла";"die Flussbegradigung, -en"
"бассейн реки";"das Flussgebiet, -e"
"жидкость";"die Flüssigkeit, -en"
"речной рак";"der Flusskrebs, -e"
"речная мидия";"die Flussmuschel, -n"
"речная минога";"das Flussneunauge, -n"
"европейская жемчужница";"die Flussperlmuschel, -n"
"участок реки";"die Flussstrecke, -n"
"речная вода";"das Flusswasser, -"
"последствие";"die Folge, -n"
"содействие";"die Förderung, -en"
"форма";"die Form, -en"
"передвижение";"die Fortbewegung, -en"
"размножение";"die Fortpflanzung, -en"
"тип размножения";"der Fortpflanzungstyp, -en"
"вопрос";"die Frage, -n"
"корм";"der Fraß, -"
"пресс хищников";"der Fraßdruck, -"
"обыкновенный горчак";"der Frauennerfling, -e"
"линия электропередачи";"die Freileitung, -en"
"открытая вода";"das Freiwasser, -"
"свободноплавающий икрометатель";"der Freiwasserlaicher, -"
"зона открытой воды";"die Freiwasserzone, -n"
"использование в свободное время";"die Freizeitnutzung, -en"
"инородное тело";"der Fremdkörper, -"
"частота";"die Frequenz, -en"
"стадия кормления";"das Fressstadium, -"
"мирная рыба";"der Friedfisch, -e"
"жарка во фритюре";"das Frittieren, -"
"кувшинка";"der Froschbiss, -"
"лягушка";"der Frosch, Frösche"
"икра лягушки";"das Froschei, -er"
"мороз";"der Frost, -"
"весна";"der Frühjahr, -e"
"весенний отлов рыбы";"die Frühjahrsabfischung, -en"
"осязание";"die Fühlung, -en"
"руководство";"die Führung, -en"
"ведущая рука";"die Führungshand, -e"
"функция";"die Funktion, -en"
"кормовая рыба";"der Futterfisch, -e"
"кормушка";"der Futterkorb, -körbe"
"кормовая спираль";"die Futterspirale, -n"
"галисийский";"das Galizisch, -"
"желчный пузырь";"die Gallenblase, -n"
"желточная нить";"die Gallertschnur, -"
"лосось";"der Gangfisch, -e"
"большой крохаль";"der Gänsesäger, -"
"садовый пруд";"der Gartenteich, -e"
"гость";"der Gast, Gäste"
"колюшка";"der Gasterosteide, -n"
"нёбо";"der Gaumen, -"
"горный ручей";"der Gebirgsbach, -bäche"
"использование";"der Gebrauch, -"
"предмет обихода";"der Gebrauchsgegenstand, -stände"
"Геesthacht";"Geesthacht, -"
"опасность";"die Gefahr, -en"
"сосуд";"das Gefäß, -e"
"противовес";"das Gegenlager, -"
"противоположность";"der Gegensatz, -sätze"
"предмет";"der Gegenstand, -stände"
"настоящее время";"die Gegenwart, -"
"содержание";"der Gehalt, -e"
"укол в мозг";"der Gehirnstich, -e"
"древесина";"das Gehölz, -e"
"кромка леса";"der Gehölzsaum, -säume"
"орган слуха";"das Gehörorgan, -e"
"слуховой камешек";"das Gehörsteinchen, -"
"полоса местности";"der Geländestreifen, -"
"жёлтый угорь";"der Gelbaal, -e"
"жёлтый";"das Gelb, -"
"личинка жёлтого жука-плавунца";"die Gelbrandkäferlarve, -n"
"денежный штраф";"die Geldbuße, -n"
"кладка яиц";"das Gelege, -"
"одобрение";"die Genehmigung, -en"
"устройство";"das Gerät, -e"
"ящик для инструментов";"der Gerätekasten, -"
"проверка оборудования";"der Gerätetest, -"
"настройка оборудования";"die Gerätezusammenstellung, -en"
"гравийное дно";"der Gerölluntergrund, -"
"запах";"der Geruch, -"
"обоняние";"der Geruchsinn, -"
"орган обоняния";"das Geruchsorgan, -e"
"обонятельный раздражитель";"der Geruchsreiz, -"
"обоняние";"der Geruchssinn, -"
"восприятие запаха";"die Geruchswahrnehmung, -en"
"общая длина";"die Gesamtlänge, -n"
"пол";"das Geschlecht, -er"
"половая зрелость";"die Geschlechtsreife, -"
"вкус";"der Geschmack, -"
"вкусовой раздражитель";"der Geschmacksreiz, -"
"чувство вкуса";"der Geschmackssinn, -"
"общество";"die Gesellschaft, -en"
"закон";"das Gesetz, -e"
"свод законов";"das Gesetzbuch, -er"
"точка зрения";"der Gesichtspunkt, -e"
"форма";"die Gestalt, -en"
"здоровье";"die Gesundheit, -"
"передаточное число";"die Getriebeübersetzung, -en"
"водоём";"das Gewässer, -"
"загрязнение воды";"die Gewässerbelastung, -en"
"русло реки";"das Gewässerbett, -en"
"управление водными ресурсами";"die Gewässerbewirtschaftung, -en"
"дно водоёма";"der Gewässerboden, -"
"владелец водоёма";"der Gewässereigentümer, -"
"дно водоёма";"der Gewässergrund, -"
"качество воды";"die Gewässergüte, -"
"уход за водоёмом";"die Gewässerhege, -"
"участок водоёма";"die Gewässerstrecke, -n"
"структура водоёма";"die Gewässerstruktur, -en"
"водная система";"das Gewässersystem, -"
"мутность воды";"die Gewässertrübung, -en"
"исследование воды";"die Gewässeruntersuchung, -en"
"смотритель водоёма";"der Gewässerwart, -e"
"вес";"das Gewicht, -e"
"распределение по весу";"die Gewichtseinteilung, -en"
"увеличение веса";"die Gewichtszunahme, -n"
"гроза";"das Gewitter, -"
"фронтон";"der Giebel, -"
"токсин";"der Giftstoff, -e"
"стекло";"das Glas, -er"
"стеклянный угорь";"der Glasaal, -e"
"стекловолокно";"die Glasfaser, -n"
"равновесие";"das Gleichgewicht, -e"
"орган равновесия";"das Gleichgewichtsorgan, -e"
"нарушение равновесия";"die Gleichgewichtsstörung, -en"
"грудной плавник";"die Gleitfloß, -e"
"личинка";"die Glochidie, -n"
"колокол";"die Glock, -e"
"выпученные глаза";"das Glotzauge, -n"
"золотой крючок";"der Goldhaken, -"
"золотая орфа";"die Goldorfe, -n"
"залив";"der Golf, -"
"ров";"der Graben, -"
"очистка канав";"die Grabenräumung, -en"
"градус";"der Grad, -"
"травяная рыба";"der Grasfisch, -e"
"кость";"die Gräte, -n"
"серый гусь";"die Graugans, -e"
"серая цапля";"der Graureiher, -"
"граница";"die Grenze, -n"
"пограничные воды";"das Grenzgewässer, -"
"болезнь мелких креветок";"die Grießkörnchenkrankheit, -en"
"грифель";"der Griffel, -"
"грифель";"das Griffelbein, -e"
"пара грифельных костей";"das Griffelbeinpaar, -e"
"ручка";"der Griffteil, -e"
"сверчок";"die Grillen, -"
"личинка стрекозы";"die Großlibellenlarve, -n"
"большой моллюск";"die Großmuschel, -n"
"земля";"der Grund, -e"
"донная удочка";"die Grundangel, -n"
"донная ловля";"das Grundangeln, -"
"бычок";"die Grundel, -n"
"донная рыбалка";"das Grundfischen, -"
"основание";"die Grundlage, -n"
"гольян";"der Gründling, -e"
"основное удилище";"die Grundrute, -n"
"принцип";"der Grundsatz, -e"
"основная леска";"die Grundschnur, -e"
"участок";"das Grundstück, -e"
"владелец земли";"der Grundstückbesitzer, -"
"владелец земли";"der Grundstückseigentümer, -"
"грунтовые воды";"das Grundwasser, -"
"группа";"die Gruppe, -n"
"жидкий навоз";"die Gülle, -n"
"срок действия";"die Gültigkeit, -"
"резина";"der Gummi, -"
